"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2024","73,214.00","73,142.16","73,529.96","73,019.98","142.56M","0.10%"
"05/15/2024","73,142.16","72,372.32","73,351.75","72,353.09","142.97M","1.06%"
"05/14/2024","72,372.32","72,408.19","72,779.50","72,082.80","152.27M","-0.05%"
"05/13/2024","72,408.19","72,180.82","72,612.03","72,057.78","94.95M","0.31%"
"05/10/2024","72,180.82","71,339.62","72,529.67","71,339.62","108.36M","1.18%"
"05/09/2024","71,339.62","70,939.42","71,394.55","70,649.23","108.90M","0.56%"
"05/08/2024","70,939.42","70,789.82","71,023.87","70,509.83","123.11M","0.21%"
"05/07/2024","70,789.82","70,651.84","71,050.48","70,608.46","104.48M","0.20%"
"05/06/2024","70,651.84","70,299.70","71,240.11","70,299.70","88.03M","0.50%"
"05/03/2024","70,299.70","69,944.03","70,856.02","69,944.03","115.79M","0.51%"
"05/02/2024","69,944.03","69,924.83","70,735.31","69,808.08","148.91M","0.03%"
"04/30/2024","69,924.83","70,391.06","70,606.51","69,924.83","168.64M","-0.66%"
"04/29/2024","70,391.06","69,357.67","70,433.21","69,357.67","134.83M","1.49%"
"04/26/2024","69,357.67","68,437.29","69,583.94","68,373.55","121.21M","1.34%"
"04/25/2024","68,437.29","68,573.48","68,900.65","67,842.95","118.25M","-0.20%"
"04/24/2024","68,573.48","68,050.58","68,801.68","68,040.52","122.52M","0.77%"
"04/23/2024","68,050.58","67,496.66","68,170.96","67,440.61","121.31M","0.82%"
"04/22/2024","67,496.66","67,313.61","67,823.15","67,279.79","105.31M","0.27%"
"04/19/2024","67,313.61","67,189.65","67,341.37","66,462.83","113.06M","0.18%"
"04/18/2024","67,189.65","66,899.25","67,422.01","66,721.23","141.81M","0.43%"
"04/17/2024","66,899.25","66,901.55","67,484.11","66,643.64","147.80M","0.00%"
"04/16/2024","66,901.55","68,348.49","68,348.49","66,754.84","156.02M","-2.12%"
"04/15/2024","68,348.49","69,208.94","69,230.31","68,292.54","135.34M","-1.24%"
"04/12/2024","69,208.94","69,079.32","69,742.81","68,931.48","170.21M","0.19%"
"04/11/2024","69,079.32","69,276.72","69,540.84","68,637.07","117.91M","-0.28%"
"04/10/2024","69,276.72","69,282.03","69,968.32","68,611.07","171.53M","-0.01%"
"04/09/2024","69,282.03","69,185.86","69,746.73","69,108.98","175.05M","0.14%"
"04/08/2024","69,185.86","68,694.72","69,286.40","68,580.75","147.53M","0.71%"
"04/05/2024","68,694.72","69,211.04","69,211.04","68,201.42","126.57M","-0.75%"
"04/04/2024","69,211.04","67,979.45","69,283.43","67,910.98","140.58M","1.81%"
"04/03/2024","67,979.45","68,275.31","68,275.31","67,651.93","125.02M","-0.43%"
"04/02/2024","68,275.31","68,346.21","68,778.92","68,059.82","128.50M","-0.10%"
"03/28/2024","68,346.21","67,678.68","68,351.50","67,640.38","98.39M","0.99%"
"03/27/2024","67,678.68","67,409.47","67,824.76","67,216.16","106.26M","0.40%"
"03/26/2024","67,409.47","67,032.22","67,534.27","66,856.67","95.97M","0.56%"
"03/25/2024","67,032.22","67,023.29","67,288.32","66,607.61","117.26M","0.01%"
"03/22/2024","67,023.29","66,131.94","67,101.51","66,114.55","142.85M","1.35%"
"03/20/2024","66,131.94","65,607.83","66,254.57","65,561.52","314.68M","0.80%"
"03/19/2024","65,607.83","66,251.81","66,294.52","65,416.30","111.29M","-0.97%"
"03/18/2024","66,251.81","66,745.72","67,284.55","66,128.14","140.85M","-0.74%"
"03/15/2024","66,745.72","66,745.72","66,745.72","66,745.72","","-0.40%"
"03/14/2024","67,011.26","67,954.70","68,061.41","67,468.16","","-1.39%"
